sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,padding,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower_ms,mvt_err_upper_ms,all_median_mvt_ms,all_mvt_err_lower_ms,all_mvt_err_upper_ms,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,sigma_feature,center_time_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,complex_pulse_short,0.01,10,1,10,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,166,134,55.487,18.4846,20.881,57.812,19.6552,28.4607,-999,7984.4,51821.8,51747.6,74.2,17.0,998.05,168.49,13.14,-999,579.98,579.15,6.4,18.35,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,100,2,50,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,242,58,3.8185,0.8838,1.1461,4.1915,1.1646,0.9969,-999,7999.98,259546.23,258794.67,751.56,1351.79,1000.0,311.46,310.77,-999,2901.96,2893.55,30.67,20.45,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,4,1,4,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,171,129,70.931,22.4324,23.2602,80.65,26.325,39.6119,-999,8008.88,20729.61,20699.44,30.17,18.56,1001.11,81.42,11.61,-999,231.65,231.31,3.75,7.18,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,10,5,2,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,159,141,6.029,1.769,2.8648,10.3615,5.3794,34.1684,-999,8015.77,10433.54,10356.82,76.72,72.67,1001.97,26.87,26.57,-999,116.54,115.68,11.93,9.04,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,20,4,5,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,147,153,5.086,0.9992,1.9352,7.8085,3.4629,22.6991,-999,8005.56,26070.2,25916.26,153.94,18.86,1000.69,39.9,39.78,-999,291.39,289.67,17.62,36.16,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,400,4,100,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,297,3,2.587,0.453,0.4696,2.588,0.454,0.471,-999,7998.61,520594.91,517588.91,3006.01,17.94,999.83,606.26,606.26,-999,5821.2,5787.59,87.41,724.78,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,400,4,100,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,300,0,2.6105,0.0777,0.4405,2.6105,0.0777,0.4405,-999,7998.24,520591.49,517585.81,3005.68,2687.16,999.78,856.22,856.22,-999,5821.3,5787.69,87.4,57.99,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,50,5,10,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,245,55,3.503,0.9319,0.785,3.5765,0.9658,1.4644,-999,7994.55,52145.25,51769.28,375.97,17.33,999.32,87.8,87.8,-999,583.23,579.02,32.42,91.96,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,10,1,10,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,103,197,39.285,26.4687,25.9259,46.5105,18.8257,34.4756,-999,7983.66,51819.28,51745.48,73.81,284.24,997.96,143.7,109.37,-999,579.98,579.15,6.37,4.38,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,150,3,50,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,272,28,3.0565,0.8121,0.6164,3.0825,0.6179,0.7315,-999,8000.1,259912.51,258785.7,1126.81,1351.98,1000.01,374.64,374.61,-999,2906.03,2893.43,45.99,30.65,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,0.05,0.01,5,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,179,121,68.91,20.8284,22.6544,77.689,27.1502,41.9989,-999,7997.44,25881.03,25880.69,0.34,151.39,999.68,98.13,62.62,-999,289.42,289.41,0.04,0.03,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,6,3,2,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,95,205,65.035,47.9184,29.9472,73.447,32.0636,62.8959,-999,7985.89,10381.01,10337.47,43.54,70.59,998.24,43.98,35.51,-999,116.17,115.68,6.78,5.2,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,40,4,10,4.5,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,236,64,4.061,1.1204,1.0254,4.3215,1.2479,1.6939,-999,7994.05,52074.33,51773.08,301.25,17.26,999.26,67.62,67.08,-999,582.45,579.08,25.97,73.84,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
function,complex_pulse_short,0.01,50,5,10,6.2,-999,0,99999999,1,['nx'],['nx'],['nx'],1,300,265,35,3.515,0.988,0.752,3.5685,1.0199,0.8278,-999,7992.42,52137.34,51762.09,375.26,284.1,999.05,111.71,111.3,-999,583.21,579.02,32.36,22.29,0.003,0.0,-999,-999,-999,-999,-999,-999,-999
