bin_width_ms,median_mvt_ms,width,peak_time_ratio,mvt_err_upper,mvt_err_lower
0.1,8.686,100.0,0.2,0.0752,0.0802
1.0,17.902,100.0,0.5,0.079,0.07
0.05,8.8115,100.0,0.2,0.0837,0.0815
0.02,8.1905,100.0,0.2,0.0867,2.1068
0.5,18.605,100.0,0.5,0.0802,0.0736
0.1,14.8315,100.0,0.5,0.0957,0.1015
0.2,14.5585,100.0,0.5,0.0867,0.0895
0.05,12.273,100.0,0.5,2.3693,0.1182
0.01,8.183,100.0,0.2,0.0773,1.3476
0.02,12.588,100.0,0.5,1.4252,1.03
1.0,14.31,100.0,0.8,0.0682,0.074
0.005,7.4225,100.0,0.2,0.8196,1.3398
0.002,3.9005,50.0,0.8,0.0773,1.0287
0.5,12.807,100.0,0.8,0.0772,0.0813
0.01,11.539,100.0,0.5,2.423,1.2772
0.2,10.641,100.0,0.8,0.0682,0.0712
0.002,5.976,50.0,0.5,0.6498,1.1346
0.001,3.863,50.0,0.2,0.1022,1.017
0.1,8.69,100.0,0.8,0.078,0.0902
0.05,8.816,100.0,0.8,0.084,0.089
0.02,8.1975,100.0,0.8,0.0847,2.1187
0.01,8.182,100.0,0.8,0.075,1.3602
0.005,7.46,100.0,0.8,0.7706,1.3886
0.005,11.5935,100.0,0.5,2.3725,1.3185
0.002,7.139,100.0,0.2,0.727,1.3569
0.001,3.8775,50.0,0.8,0.0803,1.0439
0.002,7.208,100.0,0.8,0.6518,1.4543
0.001,5.9585,50.0,0.5,0.6621,1.1274
0.002,13.137,100.0,0.5,0.121,3.414
0.001,7.085,100.0,0.2,0.769,1.3345
0.001,7.703,100.0,0.8,0.1585,1.958
0.001,13.1455,100.0,0.5,0.1125,3.4279
