sim_type,pulse_shape,bin_width_ms,peak_amplitude,position,angle,trigger,sim_det,base_det,analysis_det,num_analysis_det,background_level,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,gaussian,0.0001,500.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,289,11,0.123,0.0209,0.0229,0.124,0.021,0.022,125.13,0.06,-999,-999,-999,-999,1046.37,168.43,-999,inf,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,1000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.122,0.019,0.003,0.122,0.019,0.003,250.37,0.06,-999,-999,-999,-999,1031.33,347.95,-999,inf,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,100.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,259,41,0.406,0.1064,0.079,0.409,0.0782,0.0852,75.15,1.32,-999,-999,-999,-999,1011.07,60.28,-999,57.06,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,50.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,264,36,0.478,0.0829,0.097,0.4875,0.0895,0.1505,37.11,1.3,-999,-999,-999,-999,994.95,31.8,-999,28.5,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,200.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,274,26,0.351,0.067,0.063,0.352,0.067,0.065,149.86,1.32,-999,-999,-999,-999,1011.68,111.48,-999,113.96,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,300.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,274,26,0.342,0.06,0.014,0.345,0.0602,0.039,224.79,1.35,-999,-999,-999,-999,1031.39,155.32,-999,168.61,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.2,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,2,298,6.891,0.4236,0.4236,15.901,11.5972,24.0498,0.0,2.0,-999,-999,-999,-999,840.0,3.52,-999,0.0,-999,-999,-999,-999,-1.18,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,500.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,291,9,0.294,0.05,0.053,0.294,0.05,0.054,375.37,1.36,-999,-999,-999,-999,1027.03,260.96,-999,282.12,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,20.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,244,56,0.926,0.2374,0.2052,0.949,0.245,0.3872,24.95,2.52,-999,-999,-999,-999,999.18,17.66,-999,14.66,-999,-999,-999,-999,3.84,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.1,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,2,298,6.849,0.3985,0.3985,15.785,11.2405,26.9416,0.0,2.0,-999,-999,-999,-999,820.0,3.51,-999,0.0,-999,-999,-999,-999,-1.53,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.5,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,3,297,6.294,1.1172,0.8541,11.4115,7.9569,20.3699,0.67,2.0,-999,-999,-999,-999,800.0,3.62,-999,0.45,-999,-999,-999,-999,-0.49,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,10.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,180,120,1.1105,0.3197,0.2985,1.3575,0.5295,3.2127,13.36,2.54,-999,-999,-999,-999,999.33,8.99,-999,7.85,-999,-999,-999,-999,2.48,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,2.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,6,294,5.655,3.6978,2.2924,16.2975,10.4409,16.1849,3.0,2.33,-999,-999,-999,-999,906.67,3.99,-999,1.85,-999,-999,-999,-999,0.5,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,1.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,3,297,6.569,1.7938,0.7079,11.9585,8.6397,30.5209,1.0,2.0,-999,-999,-999,-999,880.0,3.68,-999,0.6,-999,-999,-999,-999,-0.44,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,3.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,14,286,3.159,1.3233,4.4337,9.944,6.3307,18.8229,5.0,2.43,-999,-999,-999,-999,945.71,3.86,-999,3.12,-999,-999,-999,-999,0.99,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,5.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,56,244,1.7035,0.7271,2.4153,6.285,4.419,12.1815,8.07,2.41,-999,-999,-999,-999,951.43,5.66,-999,4.91,-999,-999,-999,-999,1.62,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,0.3,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,3,297,7.525,0.8493,1.1172,10.3995,7.0213,23.4568,0.0,2.67,-999,-999,-999,-999,1013.33,3.64,-999,0.0,-999,-999,-999,-999,-1.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,1000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,296,4,0.291,0.047,0.007,0.291,0.047,0.0113,751.52,1.3,-999,-999,-999,-999,1007.43,517.8,-999,572.63,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.3,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,100.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,261,39,0.585,0.1612,0.1104,0.5915,0.1198,0.1118,125.03,2.56,-999,-999,-999,-999,1003.37,72.13,-999,73.14,-999,-999,-999,-999,10.48,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,50.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,255,45,0.69,0.122,0.127,0.701,0.132,0.2209,62.2,2.58,-999,-999,-999,-999,1019.45,36.19,-999,36.03,-999,-999,-999,-999,6.98,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,200.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,271,29,0.496,0.0918,0.091,0.497,0.0903,0.0942,249.84,2.6,-999,-999,-999,-999,1019.34,130.37,-999,144.87,-999,-999,-999,-999,15.28,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,300.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,258,42,0.491,0.084,0.058,0.492,0.085,0.0922,375.55,2.58,-999,-999,-999,-999,1017.21,201.43,-999,218.14,-999,-999,-999,-999,18.95,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,500.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,267,33,0.461,0.113,0.037,0.462,0.114,0.0842,626.4,2.57,-999,-999,-999,-999,1013.33,312.46,-999,364.3,-999,-999,-999,-999,24.6,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,1000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,277,23,0.413,0.0737,0.049,0.414,0.073,0.075,1251.84,2.57,-999,-999,-999,-999,1017.62,610.72,-999,727.46,-999,-999,-999,-999,35.12,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.5,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,2000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.107,0.003,0.017,0.107,0.003,0.017,500.85,0.08,-999,-999,-999,-999,1019.33,658.63,-999,inf,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
function,gaussian,0.0001,5000.0,0,0,99999999,['nx'],['nx'],['nx'],1,1,300,300,0,0.107,0.002,0.001,0.107,0.002,0.001,1252.25,0.08,-999,-999,-999,-999,1042.0,1628.67,-999,1724.08,-999,-999,-999,-999,0.0,0.0,0.0,0.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.1,-999,-999,-999,-999,-999,-999
