sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,26,274,20.385,11.999,8.001,33.247,17.2382,74.4317,11.54,29.62,-999,-999,-999,-999,990.48,6.73,-999,2.11,-999,-999,-999,-999,2.49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.003
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,183,117,44.054,16.4204,10.2512,47.724,15.9165,68.7516,61.8,238.38,-999,-999,-999,-999,995.57,11.5,-999,4.0,-999,-999,-999,-999,3.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.03
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,77,223,25.128,10.2132,8.7773,57.219,33.9745,84.1606,28.18,86.65,-999,-999,-999,-999,997.67,8.35,-999,3.04,-999,-999,-999,-999,2.87,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.01
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,179,121,42.514,16.1998,10.9389,49.6495,18.6359,69.4427,61.99,238.04,-999,-999,-999,-999,994.21,11.6,-999,4.02,-999,-999,-999,-999,3.09,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.03
function,norris,0.003,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,26,274,15.588,8.148,12.9,36.3095,21.9153,75.9731,11.46,29.5,-999,-999,-999,-999,986.96,6.34,-999,2.09,-999,-999,-999,-999,2.54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.003
function,norris,0.3,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,85,215,23.828,10.2947,8.8959,60.893,38.8812,80.6418,27.86,86.27,-999,-999,-999,-999,993.3,8.6,-999,3.01,-999,-999,-999,-999,2.87,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.01
function,norris,1.0,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,81,219,25.084,9.8936,9.7442,58.828,34.2416,70.4831,28.06,86.1,-999,-999,-999,-999,991.46,8.36,-999,3.03,-999,-999,-999,-999,2.86,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.01
function,norris,0.1,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,25,275,20.673,13.024,8.9839,41.712,23.8806,66.2186,11.8,29.12,-999,-999,-999,-999,973.86,6.78,-999,2.18,-999,-999,-999,-999,2.55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.003
function,norris,0.03,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,177,123,43.14,16.3998,10.3893,50.3535,18.5053,68.6449,62.1,238.24,-999,-999,-999,-999,995.02,11.57,-999,4.02,-999,-999,-999,-999,3.09,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.03
function,norris,0.01,1,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,175,125,41.648,13.3943,15.1364,49.2255,15.9451,70.6376,61.69,238.2,-999,-999,-999,-999,994.84,11.62,-999,4.0,-999,-999,-999,-999,3.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,0.03
