MVT_snr,median_mvt_ms,sigma,bin_width_ms,mvt_err_upper,mvt_err_lower
155.0,2.607,0.003,0.003,0.316,0.4686
272.07,0.878,0.001,0.001,0.157,0.1396
440.61,2.583,0.003,0.003,0.031,0.428
4.6,9.946,0.001,0.001,6.173,7.656
7.67,6.2335,0.003,0.003,3.5405,1.9413
92.71,1.044,0.001,0.001,0.1843,0.1843
20.63,4.261,0.003,0.003,0.8447,1.1855
5.27,9.389,0.003,0.003,18.4749,2.7263
11.72,1.801,0.001,0.001,0.5486,0.403
5.57,3.389,0.001,0.001,6.0484,1.3734
539.53,3.673,0.005,0.003,0.417,0.6482
10.46,8.506,0.005,0.003,3.466,2.35
60.7,4.4735,0.005,0.003,0.8301,0.8882
6.81,20.943,0.005,0.003,17.7066,11.8233
201.07,4.351,0.005,0.003,0.078,0.7832
25.28,6.0575,0.005,0.003,1.1819,1.7589
20.24,4.069,0.003,0.001,0.79,1.135
50.53,2.9485,0.003,0.001,0.5705,0.5742
451.45,2.437,0.003,0.001,0.0333,0.427
8.61,5.959,0.003,0.001,3.5718,1.8293
149.4,2.485,0.003,0.001,0.4505,0.4771
6.14,15.945,0.003,0.001,22.5122,9.6492
4.62,10.016,0.001,0.0003,6.5498,6.8981
11.65,1.772,0.001,0.0003,0.5816,0.4856
33.55,1.422,0.001,0.0003,0.2763,0.3926
92.63,1.0435,0.001,0.0003,0.1676,0.1975
272.08,0.8735,0.001,0.0003,0.1075,0.1627
5.57,3.391,0.001,0.0003,6.1505,1.4575
9.56,8.3275,0.005,0.001,3.1643,2.3892
24.89,5.8125,0.005,0.001,1.1694,1.5362
194.37,4.122,0.005,0.001,0.482,0.82
7.08,19.895,0.005,0.001,18.4704,10.2152
537.48,3.483,0.005,0.001,0.6437,0.095
64.94,4.872,0.005,0.001,0.6184,1.3231
8.3,6.09,0.003,0.0003,3.5806,1.9641
4.63,10.473,0.001,0.0001,5.7162,7.7779
454.82,2.442,0.003,0.0003,0.043,0.4284
4.94,3.148,0.001,0.0001,5.8677,1.2222
148.49,2.49,0.003,0.0003,0.463,0.753
6.17,16.132,0.003,0.0003,22.4268,9.7452
19.81,4.0955,0.003,0.0003,0.7965,1.1799
12.69,1.877,0.001,0.0001,0.4045,0.5144
50.5,2.9435,0.003,0.0003,0.611,0.68
93.9,0.9875,0.001,0.0001,0.18,0.1949
255.99,0.831,0.001,0.0001,0.156,0.1616
32.1,1.367,0.001,0.0001,0.266,0.257
2201.88,5.593,0.005,0.1,0.024,0.025
1723.26,3.3465,0.003,0.03,0.0155,0.0215
2037.49,4.665,0.005,0.03,0.4632,0.026
4400.51,5.593,0.005,0.1,0.018,0.018
895.08,3.5035,0.001,0.1,0.0044,0.0044
999.46,1.546,0.001,0.01,0.0102,0.0092
3855.03,4.571,0.003,0.1,0.013,0.014
2200.16,2.222,0.001,0.03,0.006,0.006
-999.0,-100.0,0.001,0.1,0.0,0.0
1924.13,4.57,0.003,0.1,0.0172,0.019
2015.07,1.109,0.001,0.003,0.006,0.008
4081.48,4.667,0.005,0.03,0.461,0.014
1565.92,2.62,0.003,0.01,0.255,0.019
1003.65,1.107,0.001,0.003,0.009,0.01
1985.2,1.547,0.001,0.01,0.0062,0.008
1100.51,2.222,0.001,0.03,0.009,0.007
3448.28,3.349,0.003,0.03,0.012,0.016
3145.41,2.621,0.003,0.01,0.252,0.014
1802.97,3.657,0.005,0.01,0.393,0.025
3577.34,3.6605,0.005,0.01,0.0105,0.0135
1380.85,2.2,0.003,0.003,0.3863,0.0223
2763.69,2.204,0.003,0.003,0.382,0.012
910.49,0.875,0.001,0.001,0.092,0.014
1818.26,0.874,0.001,0.001,0.0082,0.007
3548.98,3.665,0.005,0.003,0.0102,0.015
1784.22,3.663,0.005,0.003,0.0184,0.025
1394.08,2.063,0.003,0.001,0.3794,0.03
2805.73,2.061,0.003,0.001,0.376,0.013
1633.21,0.737,0.001,0.0003,0.082,0.011
838.56,0.741,0.001,0.0003,0.135,0.0179
1749.21,3.46,0.005,0.001,0.6278,0.0298
3482.87,3.461,0.005,0.001,0.012,0.015
24.71,5.836,0.005,0.0003,1.1654,1.698
9.86,8.407,0.005,0.0003,3.2018,2.4866
7.2,19.5555,0.005,0.0003,18.8558,9.8421
