sim_type,pulse_shape,bin_width_ms,peak_amplitude,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,MVT_snr,sigma
function,gaussian,0.1,1000,300,300,0,4.57,0.019,0.0172,1924.13,3.000
function,gaussian,0.003,2000,300,300,0,1.109,0.008,0.006,2015.07,1.000
function,gaussian,0.03,2000,300,300,0,4.667,0.014,0.461,4081.48,5.000
function,gaussian,0.01,1000,300,300,0,2.62,0.019,0.255,1565.92,3.000
function,gaussian,0.003,1000,300,300,0,1.107,0.01,0.009,1003.65,1.000
function,gaussian,0.01,2000,300,300,0,1.547,0.008,0.0062,1985.2,1.000
function,gaussian,0.03,1000,300,300,0,2.222,0.007,0.009,1100.51,1.000
function,gaussian,0.03,2000,300,300,0,3.349,0.016,0.012,3448.28,3.000
function,gaussian,0.01,2000,300,300,0,2.621,0.014,0.252,3145.41,3.000
function,gaussian,0.01,1000,300,300,0,3.657,0.025,0.393,1802.97,5.000
function,gaussian,0.01,2000,300,300,0,3.6605,0.0135,0.0105,3577.34,5.000
function,gaussian,0.003,1000,300,299,1,2.2,0.0223,0.3863,1380.85,3.000
function,gaussian,0.003,2000,300,300,0,2.204,0.012,0.382,2763.69,3.000
function,gaussian,0.001,1000,300,300,0,0.875,0.014,0.092,910.49,1.000
function,gaussian,0.001,2000,300,300,0,0.874,0.007,0.0082,1818.26,1.000
function,gaussian,0.003,2000,300,300,0,3.665,0.015,0.0102,3548.98,5.000
function,gaussian,0.003,1000,300,292,8,3.663,0.025,0.0184,1784.22,5.000
function,gaussian,0.001,1000,300,280,20,2.063,0.03,0.3794,1394.08,3.000
function,gaussian,0.001,2000,300,293,7,2.061,0.013,0.376,2805.73,3.000
function,gaussian,0.0003,2000,300,299,1,0.737,0.011,0.082,1633.21,1.000
function,gaussian,0.0003,1000,300,283,17,0.741,0.0179,0.135,838.56,1.000
function,gaussian,0.001,1000,300,258,42,3.46,0.0298,0.6278,1749.21,5.000
function,gaussian,0.001,2000,300,279,21,3.461,0.015,0.012,3482.87,5.000
function,gaussian,0.0003,10,300,240,60,5.836,1.698,1.1654,24.71,5.000
function,gaussian,0.0003,3,300,207,93,8.407,2.4866,3.2018,9.86,5.000
