sim_type,pulse_shape,bin_width_ms,peak_amplitude,peak_amp_relative,overall_amplitude,position,angle,trigger,background_level,sim_det,base_det,analysis_det,num_analysis_det,total_sim,successful_runs,failed_runs,median_mvt_ms,mvt_err_lower,mvt_err_upper,all_median_mvt_ms,all_mvt_err_lower,all_mvt_err_upper,mean_src_counts,mean_bkgd_counts,mean_src_counts_total,mean_src_counts_template,mean_src_counts_feature,mean_bkgd_counts_feature_local,mean_back_avg_cps,MVT_snr,MVT_snr_position,S_flu,S_flu_total,S_flu_template,S_flu_feature_avg,S_flu_feature_local,S16,S32,S64,S128,S16_total,S32_total,S64_total,S128_total,S16_template,S32_template,S64_template,S128_template,S16_feature,S32_feature,S64_feature,S128_feature,sigma,center_time,width,peak_time_ratio,start_time,rise_time,decay_time
function,triangular,0.1,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,209,91,140.283,59.5541,30.8369,137.627,79.8321,33.5138,4997.92,999.23,-999,-999,-999,-999,999.61,121.53,-999,158.09,-999,-999,-999,-999,12.43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,1.0,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,193,107,1266.661,251.2545,137.7284,1036.494,740.2605,359.6741,49967.05,9999.18,-999,-999,-999,-999,999.96,365.81,-999,499.68,-999,-999,-999,-999,13.01,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,0.3,10,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,191,109,414.366,110.3458,11.0042,313.2975,166.1943,110.1941,15001.36,2999.92,-999,-999,-999,-999,1000.1,207.3,-999,273.88,-999,-999,-999,-999,12.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,0.1,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,205,95,127.458,43.9228,13.8724,104.068,61.602,36.9592,14991.5,999.72,-999,-999,-999,-999,1000.12,328.73,-999,474.07,-999,-999,-999,-999,21.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,0.3,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,196,104,375.3185,69.4897,45.1559,311.13,232.6229,106.912,44986.97,2999.41,-999,-999,-999,-999,999.95,531.8,-999,821.38,-999,-999,-999,-999,22.07,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
function,triangular,1.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,238,62,89.463,18.4368,58.9995,88.497,29.1527,59.7338,49999.06,999.0,-999,-999,-999,-999,999.42,913.46,-999,1581.65,-999,-999,-999,-999,39.79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,10.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,189,111,1472.15,600.274,9.7312,875.7285,703.2933,603.805,149992.39,10001.01,-999,-999,-999,-999,1000.15,1099.64,-999,1499.82,-999,-999,-999,-999,22.36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,3.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,240,60,114.9465,23.3791,14.4676,113.7135,40.092,15.5351,49994.7,998.81,-999,-999,-999,-999,999.23,980.83,-999,1581.66,-999,-999,-999,-999,39.78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,0.3,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,213,87,111.724,23.3515,11.4699,108.679,63.7788,14.1897,49991.49,998.99,-999,-999,-999,-999,999.39,979.97,-999,1581.43,-999,-999,-999,-999,39.78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,3.0,30,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,187,113,1101.104,15.6491,134.0262,1088.408,917.4932,142.1962,149983.97,10000.95,-999,-999,-999,-999,1000.14,959.46,-999,1499.74,-999,-999,-999,-999,22.35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0.5,-999,-999,-999
function,triangular,10.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,172,128,36.217,3.4196,106.3715,38.0085,5.355,80.6864,49986.19,999.88,-999,-999,-999,-999,1000.27,593.17,-999,1580.58,-999,-999,-999,-999,39.74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.5,-999,-999,-999
function,triangular,10.0,100,-999,-999,0,0,99999999,1,['nx'],['nx'],['nx'],1,300,191,109,315.302,4.3482,6.4852,312.9445,171.8354,6.7693,150006.72,2998.71,-999,-999,-999,-999,999.71,1698.89,-999,2739.18,-999,-999,-999,-999,40.09,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,0.5,-999,-999,-999
